pop	mahalDist	southernEdgeDist	Zone	Location	State_Province	NumInds	Longitude	Latitude	popnames	pai203_sum	numloci	painorm
CBI	44.4164132839983	1510508.95292542	Core	Cape_Breton_Island	NS	8	-61.18	46.1	CBI	65.536485574394	203	0.322839830415734
CHL	12.6262406399079	619981.15245104	Edge	Chaffey's_Lock	ON	7	-76.25	44.58	CHL	33.1693805531999	203	0.163395963316256
CLK	12.9459326895709	1548460.97184176	Core	Cold_Lake	AB	14	-110.07	54.23	CLK	42.699150313008	203	0.210340641936
CPL	8.34901170179034	695595.393643547	Core	Chapleau	ON	14	-83.26	47.52	CPL	21.6978369310021	203	0.106885896211833
CYH	15.5918830161202	1121558.97643055	Edge	Cypress_Hills_Prov._Park	SK	11	-109.81	49.64	CYH	48.068228143197	199	0.241548885141694
DCK	11.0836767469764	1027382.96671425	Core	Duck_Mountain	SK	13	-101.74	51.6	DCK	41.9405407584982	203	0.206603649056641
DPR	8.47669539991815	725548.343695734	Core	Deep_River	ON	14	-77.51	46.09	DPR	29.4515233668671	203	0.145081395895897
FIS	31.6345296137812	1801244.76718189	Core	Fischells_River	NL	9	-58.41	48.2	FIS	72.7037256602763	203	0.358146431824021
FNO	8.69561154126313	2413068.90070057	Core	Fort_Nelson	BC	15	-122.4	58.51	FNO	37.653112445557	203	0.18548331253969
GAM	16.7801947786701	1058414.64657139	Core	Matagami	QC	15	-77.36	49.47	GAM	20.9188423261901	203	0.103048484365468
HBY	6.78238710124943	1177956.87602172	Core	Hudson_Bay	SK	15	-102.39	52.9	HBY	37.6640102086158	203	0.185536996101556
HST	11.5708028705602	903469.446455819	Core	Hearst	ON	12	-84.01	49.76	HST	28.4125339526792	203	0.139963221441769
HWK	38.6022107359836	2006788.61007089	Core	Hawkes_Bay	NL	10	-57	50.41	HWK	70.2067763449822	203	0.345846188891538
KAP	13.2045348006632	896170.142885882	Core	Kapuskasing	ON	12	-83.16	49.38	KAP	19.4298310641853	203	0.0957134535181542
LON	24.9345452180379	294997.055617406	Edge	London	ON	9	-81.16	43.18	LON	32.9335946936867	202	0.163037597493499
LPD	11.9740254801674	652590.820799438	Edge	Lake_Placid	NY	12	-73.73	44.35	LPD	32.785680591413	203	0.161505815721246
MBK	31.5024264913277	2114214.37939358	Core	Main_Brook	NL	12	-55.78	51.12	MBK	67.6034385861587	203	0.333021864956447
MMT	8.8140785025651	873177.51121403	Edge	Moose_Mountain_Area	SK	14	-102.59	49.87	MMT	37.9031086612433	203	0.186714820991346
NBY	8.42977938644493	674707.752090192	Core	North_Bay	ON	11	-79.52	46.33	NBY	24.013980408511	203	0.118295469992665
NIC	13.811931469306	250774.796290302	Edge	Nicolet	WI	2	-88.38	44.62	NIC	46.7220828706256	203	0.230158043697663
OFR	8.49735789583322	1175397.51441722	Core	Over_Flowing_River	MB	15	-101.1	53.14	OFR	41.7941774996746	203	0.205882647781648
OUT	12.7193425917434	1123804.64021654	Core	Outlook	SK	14	-106.25	51.17	OUT	40.5181684412476	202	0.200584992283404
RAD	22.7109631709823	1449644.79937625	Core	Radisson	QC	14	-77.67	53.43	RAD	35.1833030640999	203	0.173316763862561
SKN	8.89913344220394	1243549.64029901	Core	Saskatoon	SK	14	-106.58	52.34	SKN	41.712481230655	203	0.205480203106675
SLC	8.34419479175333	661589.276908487	Edge	St._Lawrence_County	NY	15	-75.17	44.79	SLC	31.2784981363371	203	0.154081271607572
SSR	62.5713132145557	710418.91285729	Edge	Shoeshone_River	WY	16	-109.61	44.46	SSR	28.9605480678377	203	0.142662798363733
TIM	14.2989880023652	821849.740597834	Core	Timmins	ON	14	-81.63	48.36	TIM	21.1382333394914	198	0.106758754239856
TUR	14.7496234169499	1391820.75300902	Core	Turtleford	SK	13	-108.37	53.2	TUR	40.8000586573217	203	0.2009855106272
UMI	35.141460982184	1778826.75133991	Core	Umiujaq	QC	4	-76.28	56.34	UMI	49.6055572364954	191	0.259714959353379
USDA1	17.2674646906684	364364.331458623	Edge	Kettle_River	MN	4	-92.98	46.5	USDA1	29.8275415745419	196	0.152181334563989
USDA10	16.8014496440322	385127.102569811	Edge	Iron_River	WI	6	-91.58	46.58	USDA10	28.481864962189	198	0.143847802839338
USDA12	14.9265094580409	456984.719283653	Edge	Champion	MI	7	-88.03	46.58	USDA12	35.1807177274577	194	0.181343905811638
USDA13	14.4833871718066	405382.680070759	Edge	Sagola	MI	5	-88.03	46.08	USDA13	29.2737758066293	201	0.145640675654872
